Vendor Code,Supplier Name,GSTIN,PAN,Account Number,Registered Address,Contact No,Email Domain,Vendor Since,MSME Regd,Spend Category
V-FM11,Krishnan Packaging Co,33AFM1F9702C5ZH,AFM1G2976W,KVBL-700011,211/1 Mount Road,+91 9596565304,accounts@gmail.com,01/03/2025,Yes,Professional Services
V-FM12,Anand Traders Co,33AFM1A2294E3ZN,AFM1S5874D,KVBL-700012,212/1 Mount Road,+91 9129000054,accounts@gmail.com,01/03/2025,Yes,Electricals
V-FM13,Murugan Enterprises Co,33AFM1G8060Q3ZQ,AFM1X7106P,KVBL-700013,213/1 Mount Road,+91 9837870227,accounts@gmail.com,01/03/2025,Yes,Raw Materials
V-FM14,Ramesh Industries Co,33AFM1L4638J7ZG,AFM1C7907N,KVBL-700014,214/1 Bazaar Street,+91 9105511322,accounts@gmail.com,01/03/2025,Yes,Electricals
V-IE00,Iyer Fabricators,33AIE0K2378W8ZL,AIE0X5520X,AXIS-800000,"12 SIDCO Industrial Estate, Guindy",+91 9506585702,accounts@fab0works.co.in,01/03/2025,No,Raw Materials
V-IE01,Nithya Fabricators,33AIE1X2807W8ZH,AIE1R2765F,AXIS-800001,"12 SIDCO Industrial Estate, Guindy",+91 9463848989,accounts@fab1works.co.in,01/03/2025,No,Raw Materials
V-IE02,Thangam Fabricators,33AIE2K9915Q7ZU,AIE2B7817N,AXIS-800002,"12 SIDCO Industrial Estate, Guindy",+91 9361977962,accounts@fab2works.co.in,01/03/2025,No,Raw Materials
V-IE03,Bhaskar Fabricators,33AIE3N5680W6ZB,AIE3R2800U,AXIS-800003,"12 SIDCO Industrial Estate, Guindy",+91 9711462906,accounts@fab3works.co.in,01/03/2025,No,Raw Materials
V-IE04,Iyer Fabricators,33AIE4P7116E5ZN,AIE4W9268S,AXIS-800004,"12 SIDCO Industrial Estate, Guindy",+91 9893203680,accounts@fab4works.co.in,01/03/2025,No,Raw Materials
V-IE05,Nithya Fabricators,33AIE5M1497X7ZH,AIE5H7933L,AXIS-800005,"12 SIDCO Industrial Estate, Guindy",+91 9546522667,accounts@fab5works.co.in,01/03/2025,No,Raw Materials
V-IE06,Thangam Fabricators,33AIE6Q1731R1ZJ,AIE6S6616P,AXIS-800006,"12 SIDCO Industrial Estate, Guindy",+91 9997298816,accounts@fab6works.co.in,01/03/2025,No,Raw Materials
V-IE07,Bhaskar Fabricators,33AIE7N1571T7ZZ,AIE7V4813W,AXIS-800007,"12 SIDCO Industrial Estate, Guindy",+91 9516628359,accounts@fab7works.co.in,01/03/2025,No,Raw Materials
V-AC00,Nithya Consultancy,33AAC0Q5304L3ZU,AAC0H7868Z,SBIN-850000,300/4 Luz Corner,+91 9840112233,accounts@consult0.co.in,01/03/2025,Yes,Professional Services
V-AC01,Ramesh Consultancy,33AAC1L6100J7ZC,AAC1U9921A,SBIN-850001,301/4 Luz Corner,+91 9840112233,accounts@consult1.co.in,01/03/2025,Yes,Professional Services
V-AC02,Palani Consultancy,33AAC2H5173T3ZB,AAC2D5069L,SBIN-850002,302/4 Luz Corner,+91 9840112233,accounts@consult2.co.in,01/03/2025,Yes,Professional Services
